Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Pred_Price
Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,8501,8452.0
Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,2,3,12092,12313.6
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,11171,11192.2
Audi,Q5,2023,2.0,Electric,Manual,160971,2,1,11780,11996.5
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,2867,3191.9
Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4,7242,6748.3
Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1,11208,11017.5
Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2,7950,8225.2
Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4,9926,9563.1
Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,5,6545,6612.2
BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3,5863,5794.8
Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3,11444,11054.4
Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4,10842,10253.0
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1,4820,5511.7
Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2,5981,5755.5
Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1,9697,9648.7
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,14837,14151.1
Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2,11576,11257.9
Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3,2351,2892.4
Mercedes,GLA,2021,1.5,Petrol,Manual,34640,2,1,11207,10992.0
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1,13374,12810.7
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2,8863,9143.2
Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4,6266,6440.2
Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2,7701,7081.1
Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,3,4,12402,12494.6
Kia,Sportage,2011,1.8,Diesel,Automatic,92188,2,4,8856,8329.6
Audi,A3,2022,3.3,Electric,Manual,79350,5,3,14413,14272.6
BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,5,3,10645,11304.1
BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,3,12584,12809.1
Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,4,9963,9303.7
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5,9327,8636.0
Volkswagen,Passat,2008,3.5,Electric,Manual,88381,3,1,10232,9942.7
Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,5,1,9327,9264.2
Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,3,5,11696,12387.1
Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,4,9150,9158.0
Kia,Optima,2005,4.5,Petrol,Manual,18590,2,5,9728,9478.1
Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,4,1,7231,7676.7
Kia,Sportage,2000,1.4,Electric,Manual,167050,5,4,4159,4039.2
Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4,6852,6874.5
Audi,A4,2004,1.0,Petrol,Manual,94415,2,1,4411,4693.1
Ford,Focus,2004,1.2,Electric,Manual,93645,3,3,6627,6671.5
BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1,8690,7978.1
Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,7879,7193.5
Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3,9762,9010.9
Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,11833,11423.3
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,6092,6010.7
