Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Pred_Price
Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,8501,9413.3
Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,2,3,12092,11934.9
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,11171,11295.4
Audi,Q5,2023,2.0,Electric,Manual,160971,2,1,11780,12064.5
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,2867,2770.2
Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4,7242,6718.1
Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1,11208,10764.7
Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2,7950,7503.7
Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4,9926,10524.8
Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,5,6545,6766.0
BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3,5863,5756.0
Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3,11444,12037.8
Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4,10842,10690.4
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1,4820,4688.8
Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2,5981,5460.5
Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1,9697,9843.1
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,14837,14367.8
Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2,11576,11839.0
Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3,2351,2542.7
Mercedes,GLA,2021,1.5,Petrol,Manual,34640,2,1,11207,11369.4
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1,13374,13186.6
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2,8863,8716.3
Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4,6266,6613.1
Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2,7701,8308.4
